(приоритет 0): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 1): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 3): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 5): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 5): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 6): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 6): ИГРУШКА 14   : Тип = Карандаши_Цветные               , Название = "Заря"_12цв.                                   
(приоритет 7): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 7): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 7): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 8): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 14): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 16): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 16): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 20): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 20): ИГРУШКА 14   : Тип = Карандаши_Цветные               , Название = "Заря"_12цв.                                   
(приоритет 20): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 21): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 21): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 22): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 23): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 23): ИГРУШКА 2    : Тип = Игрушка_мягкая                  , Название = Заяц_"Смелый"                                  
(приоритет 23): ИГРУШКА 14   : Тип = Карандаши_Цветные               , Название = "Заря"_12цв.                                   
(приоритет 24): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 24): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 25): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 25): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 26): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 31): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 33): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 33): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 33): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 33): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 34): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 35): ИГРУШКА 2    : Тип = Игрушка_мягкая                  , Название = Заяц_"Смелый"                                  
(приоритет 36): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 36): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 36): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 38): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 38): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 38): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 39): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
(приоритет 40): ИГРУШКА 8    : Тип = Краски_Гуашь                    , Название = "Зарница"_18_цв.                               
(приоритет 41): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
(приоритет 43): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
