В ЛОТЕРЕЕ ПРИНИМАЛО УЧАСТИЕ 23 ДЕТЕЙ.
БЫЛО РАЗЫГРАНО 90 ПРИЗОВ.
ВОТ СПИСОК ПРИЗОВ, КОТОРЫЕ ДОСТАЛИСЬ УЧАСТНИКАМ: 

1. (приоритет 0): ИГРУШКА 4    : Тип = Утюг_пластм.                    , Название = "Юный_пожарный"                                
2. (приоритет 1): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
3. (приоритет 1): ИГРУШКА 5    : Тип = Конструктор_ЛЕГО                , Название = "Рыцарский_замок",_2500_дет.                   
4. (приоритет 1): ИГРУШКА 18   : Тип = Ластик                          , Название = Ластик_белый,Чехия                             
5. (приоритет 2): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
6. (приоритет 2): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
7. (приоритет 5): ИГРУШКА 3    : Тип = Ручка_шариковая                 , Название = Pentonic_синяя                                 
8. (приоритет 5): ИГРУШКА 56   : Тип = Игрушка_мягкая                  , Название = "Пудель"                                       
9. (приоритет 5): ИГРУШКА 5    : Тип = Конструктор_ЛЕГО                , Название = "Рыцарский_замок",_2500_дет.                   
10. (приоритет 6): ИГРУШКА 3    : Тип = Ручка_шариковая                 , Название = Pentonic_синяя                                 
11. (приоритет 8): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
12. (приоритет 8): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
13. (приоритет 9): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
14. (приоритет 9): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
15. (приоритет 9): ИГРУШКА 3    : Тип = Ручка_шариковая                 , Название = Pentonic_синяя                                 
16. (приоритет 9): ИГРУШКА 5    : Тип = Конструктор_ЛЕГО                , Название = "Рыцарский_замок",_2500_дет.                   
17. (приоритет 11): ИГРУШКА 19   : Тип = Конструктор                     , Название = Юный_строитель_дер.200_предм.                  
18. (приоритет 11): ИГРУШКА 21   : Тип = Набор_кукольной_посуды          , Название = "Маленькая_хозяйка",рис."Белоснежка",пластм.   
19. (приоритет 12): ИГРУШКА 56   : Тип = Игрушка_мягкая                  , Название = "Пудель"                                       
20. (приоритет 12): ИГРУШКА 21   : Тип = Набор_кукольной_посуды          , Название = "Маленькая_хозяйка",рис."Белоснежка",пластм.   
21. (приоритет 13): ИГРУШКА 21   : Тип = Набор_кукольной_посуды          , Название = "Маленькая_хозяйка",рис."Белоснежка",пластм.   
22. (приоритет 14): ИГРУШКА 21   : Тип = Набор_кукольной_посуды          , Название = "Маленькая_хозяйка",рис."Белоснежка",пластм.   
23. (приоритет 16): ИГРУШКА 5    : Тип = Конструктор_ЛЕГО                , Название = "Рыцарский_замок",_2500_дет.                   
